Compound,Compound ID,Adducts,Formula,Score,Fragmentation Score,Mass Error (ppm),Isotope Similarity,Link,Description,Neutral mass (Da)_x,m/z_x,Retention time (min)_x,Neutral mass (Da)_y,m/z_y,Retention time (min)_y,Chromatographic peak width (min),Identifications,1.1,1.2,2.1,2.2,3.1,3.2,4.1,4.2,5.1,5.2,6.1,6.2,categoria_quimica,metabolismo,tipo_composto,pubchem_cid,formula,massa_api,iupac,uso_descricao,chebi_id,chebi_nome,ontologia,chebi_definicao,modo_ionizacao,media,std,cv,media_log,media_norm,score_norm,metadata_ok,cv_norm,estabilidade,frag_norm,isotope_norm,confianca
4.53_502.1644n,CSID10025716,"M-H, 2M-H",C29H26O8,36.0,0.0,3.23138125081921,84.0397502750505,http://nonlinear.com/redirect/outbound?p=chemspider&param=10025716,"13,14-Dimethoxy-7-methyl-6-methylene-5,6,7,8-tetrahydro[1,3]benzodioxolo[5′,6′:3,4]cycloocta[1,2-f][1,3]benzodioxol-5-yl benzoate",502.164390679353,501.157114247353,4.53241666666667,502.164390679353,501.157114247353,4.53241666666667,0.1142,11,245.836863103442,210.938267402565,54557.1546379776,12244.116141254,24507.8681312755,6133.88442346317,669.763676111977,631.470389217019,50.5342392632583,14.8743851928966,694.63368801825,682.73438836727,Não classificado,Indeterminado,Indeterminado,,,,,,,,,,Negativo,6776.777543482688,14828.05730173387,2.1880690647716774,8.821404531251101,0.6898606973992271,0.45721925133689845,0,0.5579415492932491,0.44205845070675087,0.0,0.8493605060624437,0.4576218681325656
3.71_348.1386n,1006187,"M-H, 2M-H",C17H18F2N4O2,36.4,0.0,-3.37909657635619,86.1881687253367,,"N-(2,5-difluorophenyl)-2-(4-methyl-6-oxo-2-pyrrolidin-1-ylpyrimidin-1-yl)acetamide",348.138605877634,347.131329445634,3.71378333333333,348.138605877634,347.131329445634,3.71378333333333,0.177733333333333,9,862.197916315765,834.323225169574,8082.70339848412,8250.61779941717,3559.3654119485,3809.2347508806,2761.28269868251,2849.21824683222,563.282168103845,698.029640963471,5320.27925501128,5365.67132482086,,,,,,,,,,,,,Negativo,2910.3459703524345,2788.428753742189,0.958109029698802,7.97637078599739,0.6016049473972958,0.4679144385026738,0,0.19881306945242827,0.8011869305475717,0.0,0.8710953106557442,0.494826460730356
4.53_502.1799n,CSID67158364,"M-H, 2M-H",C32H30O2Si2,35.0,0.0,2.82661971526761,78.4841295628709,http://nonlinear.com/redirect/outbound?p=chemspider&param=67158364,"(3,8-Diphenyl-1,6-pyrenediyl)bis(dimethylsilanol)",502.179852467459,501.172576035459,4.53241666666667,502.179852467459,501.172576035459,4.53241666666667,0.171283333333333,1,929.429418821081,948.14937258267,57580.1923100755,61709.1726318689,26293.6303754384,28014.2897276086,3323.68598620752,3510.70074138164,61.6154161634173,70.39264254359,3204.22377112147,3207.96304472581,Não classificado,Indeterminado,Indeterminado,,,,,,,,,,Negativo,12657.42201891388,21116.523523780892,1.6683115639366886,9.4460780448738,0.7551019138130883,0.43048128342245995,0,0.4061807474476232,0.5938192525523768,0.0,0.7931562174809387,0.48291805564276136
8.74_429.2676n,45268,"M-H2O-H, M-H",C26H36FNO3,36.5,0.0,-0.69941069830618,83.575462108807,,AL 8810 ethyl amide,429.267622003423,428.260345571423,8.73835,429.267622003423,428.260345571423,8.73835,0.106349999999999,6,3921.40537023573,3341.62460535716,3237.68471756666,2901.47289152866,5702.52440464968,4946.73736299137,2685.20014178601,2397.99873426618,3405.7428038953,3084.47328786757,2667.09879094763,2474.36394305631,Não classificado,Indeterminado,Indeterminado,124519674.0,C26H36FNO3,429.6,"(Z)-7-[(1R,2R,3S,5S)-2-[(E,3R)-3-(2,3-dihydro-1H-inden-2-yl)-3-hydroxyprop-1-enyl]-3-fluoro-5-hydroxycyclopentyl]-N-ethylhept-5-enamide",,,,,,Negativo,2775.506224781541,1571.166525601073,0.5660828686214671,7.928948662631802,0.5966521569462381,0.47058823529411775,1,0.08434775735210921,0.9156522426478908,0.0,0.8446634636557656,0.6073280422409315
4.60_504.1947n,CSID129122,"M-H, 2M-H",C27H34Cl2N2O3,29.5,0.0,0.053525382548573,47.6091652887748,http://nonlinear.com/redirect/outbound?p=chemspider&param=129122,Tamolarizine Dihydrochloride,504.194674987211,503.187398555211,4.60378333333333,504.194674987211,503.187398555211,4.60378333333333,0.0920833333333331,147,0.0,1.2741088867208,3426.9337336991,3177.44360613685,3221.75835770344,3048.47479438952,126.843137384132,150.199078811993,1.65507385300171,0.0061854444123575,408.987715154461,455.565628290329,Não classificado,Indeterminado,Indeterminado,146395.0,C27H34Cl2N2O3,505.5,"2-(4-benzhydrylpiperazin-1-yl)-1-(3,4-dimethoxyphenyl)ethanol;dihydrochloride",,,,,,Negativo,1002.0751517753143,1398.2520810221502,1.3953565044946517,6.9108257121493795,0.49031888316434,0.28342245989304815,1,0.3264822753289974,0.6735177246710027,0.0,0.48080490843627216,0.45241260773578584
5.32_287.0761n,CSID2054597,"M-H, 2M-H",C16H11F2NO2,45.4,40.5,1.26405692823509,87.8310176727219,http://nonlinear.com/redirect/outbound?p=chemspider&param=2054597,"2-(2,4-Difluorophenoxy)-1-methyl-1H-indole-3-carbaldehyde",287.076147880135,286.068871448135,5.3225,287.076147880135,286.068871448135,5.3225,0.163433333333333,5,2239.4810655228,2081.08429289076,1487.53418019435,1529.28628942188,873.637235778486,868.176495179506,1901.20379200383,1692.85567223563,2882.13406496648,2986.66912750204,3067.82738220535,2881.21319556313,Não classificado,Indeterminado,Indeterminado,2774190.0,C16H11F2NO2,287.26,"2-(2,4-difluorophenoxy)-1-methylindole-3-carbaldehyde",,,,,,Negativo,1671.3046875195005,1038.5498143848288,0.6214006471352705,7.421958006420582,0.5437017974378631,0.7085561497326204,1,0.10049965590111888,0.8995003440988811,0.4179566563467492,0.8877154438718641,0.708412545953614
9.03_573.2191n,CSID9701850,"M-H2O-H, M-H",C29H26F3N9O,35.8,0.0,-3.7082777997198,83.152339182432,http://nonlinear.com/redirect/outbound?p=chemspider&param=9701850,N-[3-({1-[6-(Cyclopropylamino)-4-pyrimidinyl]-1H-imidazol-2-yl}amino)-4-methylphenyl]-3-(4-methyl-1H-imidazol-1-yl)-5-(trifluoromethyl)benzamide,573.219115336398,572.211838904398,9.03026666666667,573.219115336398,572.211838904398,9.03026666666667,0.277633333333334,1,1719.05426234986,3654.45888472066,1143.35156472275,2665.26629322665,2221.70294202801,4133.04742693358,1044.00971464716,1793.76223600934,1121.7046499685,2045.48168381731,1183.34430615724,1762.59936111206,Não classificado,Indeterminado,Indeterminado,947.0,N2,28.014,molecular nitrogen,,,,,,Negativo,1709.4829697733721,1128.1173753362677,0.659917293873845,7.444531048082432,0.5460593372791782,0.4518716577540107,1,0.11174589512625809,0.8882541048737419,0.0,0.8403828757086267,0.5861847129579519
6.75_339.1079n,1009531,"M-H, 2M-H",C15H21N3O2S2,36.0,0.0,1.11434811554393,81.567884291644,,"N-cyclopentyl-1,2-dimethyl-5-(4-methyl-1,3-thiazol-2-yl)pyrrole-3-sulfonamide",339.107896810815,338.100620378815,6.74565,339.107896810815,338.100620378815,6.74565,0.171283333333333,9,4449.22621469359,3685.35260088886,1170.63106900374,1302.44746689354,449.705496267817,383.960468197911,2137.29083664834,2217.38465457852,318.401663451908,1840.89228577417,2331.91395908883,2185.0763242225,Não classificado,Indeterminado,Indeterminado,,,,,,,,,,Negativo,1543.7491471266235,1321.8825117980894,0.856280642653961,7.342616811829995,0.535415363110274,0.45721925133689845,0,0.16908082384991996,0.83091917615008,0.0,0.8243534949175668,0.47358859170509526
10.01_483.3142n,1004044,"M-H2O-H, M-H",C26H41N7S,35.9,0.0,-0.46438183732694,79.8375183845249,,1-[4-methyl-2-(4-methylpiperazin-1-yl)quinolin-6-yl]-3-[3-(4-propylpiperazin-1-yl)propyl]thiourea,483.314190906034,482.306914474034,10.0059,483.314190906034,482.306914474034,10.0059,0.149183333333333,3,5383.10695319616,4369.54602882687,4130.1851196682,3440.50600872841,7343.70973821836,6204.82968544539,3526.05149655821,2969.69516861643,3280.64426916805,3654.02221437947,3545.34877589398,3295.79283275432,Não classificado,Indeterminado,Indeterminado,,,,,,,,,,Negativo,3474.604353122261,2027.8037276276189,0.5836070877553139,8.153523657445064,0.6201068825240592,0.4545454545454546,0,0.08946454651474485,0.9105354534852551,0.0,0.8068479829624202,0.503543327007257
11.53_844.5041n,CSID24723139,"M-H2O-H, M-H",C65H64,30.2,0.0,3.93762526175492,55.41091289198,http://nonlinear.com/redirect/outbound?p=chemspider&param=24723139,"1,1′,1″-(1,3,5,7,9,11,13,15,17,19,21-Tricosaundecayne-23,23,23-triyl)tris[3,5-bis(2-methyl-2-propanyl)benzene]",844.504127327692,825.486286207692,11.5289833333333,844.504127327692,825.486286207692,11.5289833333333,0.0920666666666659,1,7.33843994140733,0.0,45.8908997774237,22.2348021268827,34.3619477954076,17.3341063857125,48.4547718827596,35.9290177451408,13.0536193847708,0.0,62.4281315207546,49.0195311307855,Não classificado,Indeterminado,Indeterminado,,,,,,,,,,Negativo,134.50431097065083,285.0590631733726,2.1193303108000245,4.909003455095216,0.28124755830993375,0.3021390374331552,0,0.5378709425124937,0.4621290574875063,0.0,0.5597324840299956,0.28401892829173975
9.03_174.0135n,CSID10498074,"M-H, 2M-H",C2H2N6O4,38.8,0.0733,-1.41466945938355,95.6450866119548,http://nonlinear.com/redirect/outbound?p=chemspider&param=10498074,"3-amino-6-nitro-1,2,4,5-tetrazine 2,4-dioxide",174.013506828058,173.006230396058,9.03026666666667,174.013506828058,173.006230396058,9.03026666666667,0.234816666666667,11,932.758890692369,597.247379931579,549.004023219198,404.63368726206,1474.5572105771,1115.18873886288,427.327384147463,323.909780346772,574.477691948557,454.55181109552,518.729706232212,404.787509891981,Não classificado,Indeterminado,Indeterminado,135514767.0,C2H2N6O4,174.08,"6-nitro-2,4-dioxido-1,2,4,5-tetrazine-2,4-diium-3-amine",,,,,,Negativo,542.2149212065649,379.5939600538436,0.7000802545403054,6.2975050449514685,0.4262633637495681,0.5320855614973262,1,0.12347283144837852,0.8765271685516215,0.0007564499484004129,0.9667676701503063,0.5895906465344065
9.02_767.4565n,CSID10307337,"M-H2O-H, M-H",C40H61N7O8,35.4,3.31,-2.21313322632582,76.243237327928,http://nonlinear.com/redirect/outbound?p=chemspider&param=10307337,Cyclo(L-alloisoleucyl-L-prolyl-L-leucyl-L-isoleucyl-L-phenylalanyl-L-seryl-L-prolyl),767.456463512842,766.449187080842,9.016,767.456463512842,766.449187080842,9.016,0.277633333333334,1,1968.83132833157,1668.08330953114,1241.58824362982,1283.31132098941,2342.73454939193,2184.67833778523,1146.51572548292,1102.68522910572,1164.86944797514,1242.1595169696,1458.37256620141,1456.83991408935,,,,,,,,,,,,,Negativo,1320.2394093384617,586.6985989444645,0.4443880365898517,7.18632552151445,0.5190922220250306,0.4411764705882353,0,0.048814830439237136,0.9511851695607628,0.03415892672858617,0.7704858876694255,0.48138284721772084
