Compound ID,confianca
263615,338.9218497045322
1002861,326.49591089057674
1000889,317.638323641107
1016870,317.5652131611579
1041858,316.75910647029025
1020879,310.84160719174935
1025725,309.5424050278689
1025965,307.39797197651694
CSID16629914,293.38245551673157
1001642,282.2986442706217
CSID113376115,281.49893377605815
1001261,276.4636482481271
CSID24735095,267.52861440154953
CSID176798,267.4904624622296
1013509,264.52873667346284
1003395,261.4748557160078
1016161,257.71093422042304
CSID2054597,249.53653904048176
5707,247.13260684132695
1051906,246.33448985532053
1089431,242.40368792151986
1005468,237.94338004864545
1008762,236.92908350432177
1005800,234.7046644955329
123028,234.15414482867106
1027898,233.57578538291506
1009641,231.9934012073079
1003648,230.44999215011754
45268,228.69444610819676
CSID10141064,224.29066965581106
1038577,222.76436251040383
CSID129307404,221.69125993214595
CSID436057,219.08818603970587
CSID389314,214.13277358616065
CSID67033233,213.7464075324963
1041848,213.53553458646917
CSID67031889,212.90003310455526
CSID113380486,212.8808902958913
1091469,212.70404291435477
43704,209.82634003649846
1016204,209.80770962628094
CSID113376116,209.74121257628283
1043397,208.69428866910704
1006262,205.1838380431811
988351,203.59476213247925
317818,202.9810723721131
CSID16584619,202.7615221647296
CSID10307337,202.63542708453258
CSID113377086,202.25977546313212
1023420,201.84532358680647
1004228,198.46460756665866
1009512,198.33784547738597
CSID32674509,198.01111822796875
1098986,196.13683954913293
CSID113378809,195.10488238749738
CSID24604567,195.0276408683656
1004270,194.96213853777596
1045123,194.62445471977213
CSID10409667,193.92563113752945
1002629,190.42119022184815
1004276,190.10277969968146
1005043,189.8775723244921
1004596,189.81484985785548
CSID10237142,188.85543610927945
1013863,188.43092370150572
CSID102836,186.2430183451224
CSID10315519,185.6513283053041
1031900,185.34185267628
264104,184.72942137960365
CSID11189362,183.14762576804
CSID9701850,183.04755431616894
1008679,182.5678149432181
1044916,182.42187331771675
1001324,182.27275594454224
1001105,182.14390844309816
1033400,181.99494744459744
1002999,180.6540731028347
CSID143897,178.1883765344289
CSID113371224,177.37225311937263
1000888,172.26587102091207
1004208,171.20907145061824
1018095,169.5206168662455
1006187,169.03124305216642
1006919,168.64713113442056
CSID10128426,168.1337839199885
45345,167.48545942790372
CSID67161555,166.7015295588165
CSID10269334,166.34303513629465
CSID10128576,164.60660647320236
CSID10270917,164.3189806518702
CSID12135,164.0782189333614
CSID10498074,163.5937909038506
CSID10325631,162.11406197660182
1009531,161.36910058881216
1004044,160.10487962306865
1020765,159.83624151987976
CSID24605044,159.77158371947942
991817,159.56060164066605
1009302,158.91104714776588
1004178,158.05950996159547
1046952,157.29421870648284
CSID24660216,156.828809469227
CSID2341654,155.71930003719572
CSID67490323,155.69323799323666
CSID24768924,155.5463020022263
CSID10242794,154.84271807784802
CSID65327640,154.69425283265076
1004600,154.1732581048412
1042387,153.89846017849817
CSID34980704,153.4775579554512
CSID66423990,153.2884285664538
1009353,152.90996877493043
1044970,152.83021215793536
CSID57485501,152.5056543919448
1006817,152.29959425972254
1001567,152.15818974732804
15769,151.11005361059426
1013025,150.6257388317068
1018731,148.25461526013427
1000821,147.3696736040466
1007391,147.14555509427433
986605,147.08467502823177
CSID146580,146.87369811742778
1038578,146.38651197712832
1094674,145.89052186304718
1016470,145.8258615710304
CSID60335,145.4521527100544
15763,145.09462140562073
CSID13092196,144.89194233543432
1044183,144.41726787340744
1006655,143.46141351218856
CSID29786403,142.9766989117145
998499,142.66460679661705
CSID32679393,141.2818747732114
36008,140.0411553605357
1092534,139.85214602668998
1004190,139.37789011451702
1047367,138.92572804965263
1040442,138.76690855261347
CSID21128281,138.1648427831205
CSID10168183,137.82938442450495
CSID10318150,137.35601767554704
267390,136.87107807656903
1004494,136.64212086827052
CSID2859916,135.8265089172342
239201,135.73466752205394
1001207,135.6189124211784
1017476,135.2519962918445
1008741,135.23362500863567
1000241,133.83703451246657
CSID4944302,133.2207815368717
CSID10286863,133.21952349920258
1002090,133.21221823973957
1031669,132.70875355217183
1034126,132.3605271932006
1080873,131.68588263230242
1034629,131.66093531139748
1005853,131.493406368661
1008060,131.4796455626062
CSID74851388,131.23097990787548
1076755,131.02662252504444
1017421,130.60871948762608
96304,130.518382822
CSID65998186,130.50484304214487
CSID5408789,130.39229146647818
1009607,130.07732102352347
1028384,129.80863441452593
1004307,128.93847021654253
176913,128.5031979882899
CSID17343788,127.84919073490718
1010678,127.50986542416264
1044221,126.63130884411756
CSID14104290,126.48952062869
CSID2015033,126.06029505557635
CSID66815,125.90093976759817
1008268,125.26069163490183
1000229,125.05654683546463
CSID67162015,124.6005710894915
19757,124.57083328266177
1045111,124.55018110967612
43438,124.44163994781276
1004093,124.37945190511857
288045,124.36249750300598
264153,124.15428371627823
2937,123.73877599101235
43853,123.56494375032973
17779,123.22248963734815
1001060,123.20245907009927
1001296,122.94679029195999
1016043,122.29282299819808
CSID153688,122.27943485471957
CSID16643880,121.43321303159584
990681,121.1859487237202
CSID75923,121.11807792023755
264608,120.8703635991164
CSID10258860,120.869418796121
1002944,120.84943391825846
1008634,120.70458971957012
16269,120.56835649844746
1052096,120.435470791873
1075388,120.30408267930451
257921,120.23444521660856
CSID67029027,120.13024276352357
1044498,119.74922878522165
CSID16585097,119.4579542486245
CSID10185978,118.75453774810657
1001980,118.13617909970938
CSID113376112,118.04814834930353
65481,117.92253888143412
1000017,117.7869464644972
1024935,117.77057360736131
263622,117.7465598242083
96489,117.36494605394745
CSID10248196,117.00089584474229
1001431,116.60666551281022
1002678,116.55916499755982
CSID67152673,116.27766154306659
CSID10128430,116.18896514106962
1016074,116.10005609570865
985878,116.03754459634175
1044939,115.4747935495473
264720,115.26666194912367
CSID10518,115.14029721776038
1015683,115.1167207377966
CSID13178170,114.70344018817651
1043436,114.39185460486924
CSID23550530,114.35567374156987
1039731,114.28137706286657
CSID113374908,113.97427632270357
CSID28290262,113.64544506167614
142593,113.51675444307122
1013463,113.18462058418764
CSID10140438,112.25526983169543
CSID10357820,111.48635756721167
CSID67153115,111.32953608616228
CSID2343245,110.85181931700488
CSID9671855,110.76984587817617
1000773,110.54073553482257
1002549,110.49915542283846
CSID10025716,110.49766295672467
CSID113381626,110.47544697963798
CSID113376171,110.11108021780835
1000473,109.9206453748002
68606,108.72546960687166
1001110,108.69177105376836
1039356,108.45821956563451
1303,108.31741044735678
CSID113386013,108.27516794479985
1027776,108.18449774832897
1005745,107.94328338644307
1034524,107.06659758807034
CSID113381877,107.01536610619983
1006877,106.68896326868956
44191,106.51403654281044
1001800,106.46249881790499
CSID113376754,105.77976405687969
1014528,105.50203823911603
CSID15744973,105.47290079453965
1048149,104.81468408021814
215747,104.36459341937105
CSID29354099,104.32393809110077
CSID14583,104.27611147256744
1078093,104.15303735775217
1001068,103.86008932721172
72568,103.4939693725196
301,103.4211162199283
CSID10236928,103.12753156227149
1034823,102.87216931222667
43707,102.59778352905515
CSID16579524,102.47261013872213
1002074,102.18833593548456
