Description,confianca,media,cv,Score,Fragmentation Score,Isotope Similarity,pubchem_cid,formula,chebi_id,ontologia,categoria_quimica,metabolismo,tipo_composto,uso_descricao
O-{[(2R)-2-(Docosanoyloxy)-3-(tridecanoyloxy)propoxy](hydroxy)phosphoryl}-L-serine,0.8957941034765436,9133.57626935861,0.5780791446472884,56.3,96.9,84.9034778295152,977.0,O2,,,Não classificado,Indeterminado,Indeterminado,"Dioxygen is a gas molecular entity, an elemental molecule and a diatomic oxygen. It has a role as a micronutrient, a nutrient, a reagent, an anti-inflammatory drug, an oxidising agent, a Saccharomyces cerevisiae metabolite, a human metabolite and a member of food packaging gas. It is a conjugate base of a hydridodioxygen(1+)."
O-{[(2R)-2-(Docosanoyloxy)-3-(tridecanoyloxy)propoxy](hydroxy)phosphoryl}-L-serine,0.7698126885382786,2813.743501315294,0.6446516978172072,49.2,68.3,78.255290475554,977.0,O2,,,Não classificado,Indeterminado,Indeterminado,"Dioxygen is a gas molecular entity, an elemental molecule and a diatomic oxygen. It has a role as a micronutrient, a nutrient, a reagent, an anti-inflammatory drug, an oxidising agent, a Saccharomyces cerevisiae metabolite, a human metabolite and a member of food packaging gas. It is a conjugate base of a hydridodioxygen(1+)."
O-{[(2R)-2-(Docosanoyloxy)-3-(tridecanoyloxy)propoxy](hydroxy)phosphoryl}-L-serine,0.7625229428638478,12960.747287283026,0.9705879102050747,46.7,54.3,79.6738687806047,977.0,O2,,,Não classificado,Indeterminado,Indeterminado,"Dioxygen is a gas molecular entity, an elemental molecule and a diatomic oxygen. It has a role as a micronutrient, a nutrient, a reagent, an anti-inflammatory drug, an oxidising agent, a Saccharomyces cerevisiae metabolite, a human metabolite and a member of food packaging gas. It is a conjugate base of a hydridodioxygen(1+)."
O-{[(2R)-2-(Docosanoyloxy)-3-(tridecanoyloxy)propoxy](hydroxy)phosphoryl}-L-serine,0.748662605400659,7829.2031669413245,0.9152154377406986,46.4,53.3,79.6914096306777,977.0,O2,,,Não classificado,Indeterminado,Indeterminado,"Dioxygen is a gas molecular entity, an elemental molecule and a diatomic oxygen. It has a role as a micronutrient, a nutrient, a reagent, an anti-inflammatory drug, an oxidising agent, a Saccharomyces cerevisiae metabolite, a human metabolite and a member of food packaging gas. It is a conjugate base of a hydridodioxygen(1+)."
"(2R)-2-[(9Z,12Z)-9,12-Hexadecadienoyloxy]-3-[(hydroxy{[(1S,2S,3S,4S,5R,6S)-2,3,4,5-tetrahydroxy-6-(α-D-mannopyranosyloxy)cyclohexyl]oxy}phosphoryl)oxy]propyl nonadecanoate",0.7091923356871719,5145.55956083947,0.7921489205056164,51.1,82.4,77.000770850289,,,,,Não classificado,Indeterminado,Indeterminado,
"2-(2,4-Difluorophenoxy)-1-methyl-1H-indole-3-carbaldehyde",0.708412545953614,1671.3046875195005,0.6214006471352705,45.4,40.5,87.8310176727219,2774190.0,C16H11F2NO2,,,Não classificado,Indeterminado,Indeterminado,
"N-{[(1R,2S,10R,13R)-16,19-Dihydroxy-7,18-dimethoxy-6,17,21-trimethyl-5,8,14-trioxo-11,21-diazapentacyclo[11.7.1.0~2,11~.0~4,9~.0~15,20~]henicosa-4(9),6,15,17,19-pentaen-10-yl]methyl}-2-oxopropanamide",0.6919121059414706,177.99718045399223,1.1792701439924744,50.3,77.4,76.5982612542842,947.0,N2,,,Não classificado,Indeterminado,Indeterminado,"Dinitrogen is an elemental molecule consisting of two trivalently-bonded nitrogen atoms. It has a role as a member of food packaging gas and a food propellant. It is a gas molecular entity, an elemental molecule and a diatomic nitrogen. It is a conjugate base of a diazynium."
Flutemetamol F-18,0.6752970769776606,142.6104782537117,0.6944119070154868,47.7,59.9,82.4592500807083,15950376.0,C14H11FN2OS,CHEBI:76611,aromatic amine | organic amino compound | organic molecular entity | carbon group molecular entity | p-block molecular entity,aromatic amine,Metabolismo secundário,Natural,"Flutemetamol ((18)F) is a member of the class of benzothiazoles that is 1,3-benzothiazole substituted by 3-(18F)fluoro-4-(methylamino)phenyl and hydroxy groups at positions 3 and 6 respectively. A positron emission tomography imaging ligand for the detection of amyloid aggregation associated with Alzheimer disease. It has a role as a radioactive imaging agent. It is an aromatic amine, a member of benzothiazoles, a (18)F radiopharmaceutical and a secondary amino compound."
"N-cyclohexyl-4-(1,2,4-triazol-1-ylmethyl)benzamide",0.6731904415894081,14926.307893712572,0.4395132168209944,37.5,0.0,90.8599253984239,41677789.0,C16H20N4O,,,Não classificado,Indeterminado,Indeterminado,
heminordihydroguaiaretic acid,0.6649638174023758,15025.42650451453,0.42594112580723537,37.1,0.0,86.3427451948134,122821.0,C19H24O4,,,Ácido orgânico,Metabolismo primário,Natural,
